城市,综合经济竞争力指数,综合经济竞争力排名,宜居竞争力指数,宜居竞争力排名,可持续竞争力指数,可持续竞争力排名
深圳,1,1,0.795,7,0.922,3
香港,0.881,2,1,1,1,1
上海,0.747,3,0.756,10,0.989,2
安庆,0.697,4,0.809,4,0.818,4
广州,0.569,5,0.804,5,0.77,5
天津,0.466,6,0.802,6,0.738,6
北京,0.459,7,0.778,9,0.729,7
澳门,0.457,8,0.786,8,0.706,8
苏州,0.424,9,0.83,3,0.682,9
武汉,0.342,10,0.759,11,0.681,10
佛山,0.334,11,0.755,12,0.677,11
南京,0.333,12,0.663,12,0.663,12
无锡,0.896,2,0.896,2,0.896,2
澳门,0.83,3,0.83,3,0.83,3
杭州,0.803,4,0.803,4,0.803,4
南通,0.795,7,0.795,7,0.795,7
南通,0.786,8,0.786,8,0.786,8
宁波,0.755,12,0.755,12,0.755,12
青岛,0.682,9,0.682,9,0.682,9
大连,0.681,10,0.681,10,0.681,10
