Rank,City,Country,Overall,Stability,Healthcare,Culture,Education,Infrastructure
1,哥本哈根,丹麦,98.0,100.0,95.8,94.4,100.0,100.0
2,维也纳,奥地利,97.4,90.0,100.0,96.3,100.0,100.0
2,苏黎世,瑞士,97.4,95.0,100.0,96.3,95.8,96.4
4,墨尔本,澳大利亚,96.8,95.0,100.0,98.6,100.0,92.9
5,日内瓦,瑞士,96.3,95.0,100.0,94.9,95.8,96.4
6,悉尼,澳大利亚,95.9,90.0,100.0,94.4,100.0,92.9
7,大阪,日本,96.0,100.0,100.0,86.8,100.0,96.4
7,奥克兰,新西兰,96.0,95.0,95.8,97.9,100.0,92.9
9,阿德莱德,澳大利亚,95.9,95.0,100.0,91.4,100.0,92.9
10,温哥华,加拿大,95.8,95.0,100.0,97.2,100.0,89.3
11,珀斯,澳大利亚,95.7,95.0,100.0,90.7,100.0,92.9
12,东京,日本,95.5,100.0,100.0,83.3,100.0,96.4
12,卡尔加里,加拿大,95.5,100.0,100.0,90.0,100.0,89.3
14,法兰克福,德国,95.4,95.0,100.0,88.0,91.7,100.0
14,新加坡,新加坡,95.4,100.0,100.0,93.5,91.7,89.3
16,多伦多,加拿大,95.2,100.0,100.0,97.2,100.0,82.1
18,卡尔加里,加拿大,94.8,95.0,100.0,90.0,100.0,89.3
19,汉堡,德国,94.7,95.0,100.0,84.3,91.7,100.0
20,赫尔辛基,芬兰,94.6,100.0,91.7,88.9,100.0,92.9
21,斯德哥尔摩,瑞典,94.5,95.0,95.8,89.8,100.0,92.9
22,阿姆斯特丹,荷兰,94.4,90.0,95.8,92.6,91.7,100.0
23,檀香山,美国,94.2,90.0,95.8,97.2,100.0,89.3
24,布鲁塞尔,比利时,94.1,85.0,95.8,94.4,100.0,96.4
25,蒙特利尔,加拿大,93.9,95.0,91.7,97.2,100.0,82.1
26,惠灵顿,新西兰,93.8,95.0,95.8,94.4,100.0,78.6
27,慕尼黑,德国,93.7,90.0,100.0,84.3,91.7,100.0
28,杜塞尔多夫,德国,93.6,95.0,100.0,84.3,91.7,92.9
29,亚特兰大,美国,93.5,85.0,95.8,92.6,100.0,96.4
30,匹兹堡,美国,93.4,85.0,95.8,90.7,100.0,96.4
31,巴塞罗那,西班牙,93.3,85.0,95.8,94.4,91.7,100.0
32,里昂,法国,93.2,85.0,100.0,88.9,91.7,100.0
33,波士顿,美国,93.1,85.0,95.8,92.6,100.0,92.9
34,西雅图,美国,93.0,85.0,95.8,92.6,100.0,92.9
35,哥本哈根,丹麦,92.9,100.0,95.8,84.3,91.7,96.4
36,米兰,意大利,92.8,80.0,95.8,94.4,83.3,100.0
37,卢森堡,卢森堡,92.7,95.0,95.8,84.3,91.7,96.4
38,华盛顿特区,美国,92.6,80.0,95.8,92.6,100.0,96.4
39,巴黎,法国,92.5,75.0,100.0,94.4,91.7,100.0
40,芝加哥,美国,92.4,75.0,95.8,92.6,100.0,100.0
41,达拉斯,美国,92.3,85.0,95.8,90.7,100.0,92.9
42,明尼阿波利斯,美国,92.2,85.0,95.8,90.7,100.0,92.9
43,都柏林,爱尔兰,92.1,90.0,83.3,94.4,100.0,92.9
44,香港,中国香港特别行政区,90.4,80.0,95.8,89.8,83.3,96.4
44,迈阿密,美国,90.4,75.0,95.8,94.4,100.0,89.3
44,波特兰,美国,90.4,80.0,95.8,92.6,100.0,85.7
47,旧金山,美国,90.1,75.0,95.8,92.6,100.0,89.3
48,丹佛,美国,90.0,85.0,95.8,88.0,100.0,85.7
49,休斯顿,美国,89.9,80.0,95.8,88.0,100.0,89.3
50,印第安纳波利斯,美国,89.4,85.0,95.8,83.3,100.0,89.3
50,夏洛特,美国,89.4,85.0,95.8,88.0,100.0,85.7
52,曼彻斯特,英国,89.2,75.0,91.7,94.4,100.0,92.9
53,罗马,意大利,89.1,70.0,95.8,97.2,83.3,100.0
54,伦敦,英国,89.0,70.0,91.7,97.2,100.0,92.9
55,马德里,西班牙,88.9,80.0,95.8,88.9,91.7,96.4
56,里斯本,葡萄牙,88.8,85.0,87.5,94.4,91.7,89.3
57,洛杉矶,美国,88.7,70.0,95.8,94.4,100.0,85.7
58,伯明翰,英国,88.6,75.0,91.7,88.9,100.0,89.3
59,圣地亚哥,美国,88.5,75.0,95.8,92.6,100.0,82.1
60,凤凰城,美国,88.4,80.0,95.8,86.1,100.0,85.7
61,费城,美国,88.3,70.0,95.8,90.7,100.0,89.3
62,格拉斯哥,英国,88.2,75.0,91.7,88.9,100.0,85.7
63,坦帕,美国,88.1,80.0,95.8,88.0,100.0,82.1
64,爱丁堡,英国,88.0,75.0,91.7,92.6,100.0,85.7
65,台北,中国台湾,87.9,75.0,91.7,88.9,91.7,96.4
66,布拉格,捷克,87.8,85.0,79.2,92.6,91.7,96.4
67,阿布扎比,阿联酋,87.7,90.0,95.8,75.0,83.3,100.0
68,华沙,波兰,87.6,85.0,75.0,88.9,100.0,96.4
69,纽约,美国,87.5,60.0,95.8,97.2,100.0,89.3
70,布达佩斯,匈牙利,87.4,85.0,75.0,90.7,91.7,96.4
71,迪拜,阿联酋,87.3,90.0,95.8,77.8,83.3,96.4
72,首尔,韩国,87.2,85.0,91.7,80.6,91.7,96.4
73,雅典,希腊,87.1,75.0,79.2,94.4,91.7,96.4
74,利雅得,沙特阿拉伯,87.0,85.0,91.7,72.2,83.3,100.0
75,贝尔格莱德,塞尔维亚,86.9,80.0,75.0,88.9,91.7,96.4
76,布拉迪斯拉发,斯洛伐克,86.8,85.0,70.8,88.9,91.7,96.4
77,布加勒斯特,罗马尼亚,86.7,80.0,70.8,90.7,91.7,96.4
78,圣地亚哥,智利,86.6,75.0,87.5,86.1,83.3,92.9
79,布宜诺斯艾利斯,阿根廷,86.5,70.0,79.2,94.4,83.3,96.4
80,蒙得维的亚,乌拉圭,86.4,80.0,79.2,88.9,83.3,92.9
81,北京,中国,86.3,85.0,79.2,77.8,91.7,96.4
82,巴拿马城,巴拿马,86.2,75.0,83.3,83.3,83.3,96.4
83,吉隆坡,马来西亚,86.1,80.0,83.3,80.6,83.3,96.4
116,曼谷,泰国,80.5,75.0,79.2,75.0,75.0,85.7
130,清迈,泰国,77.8,75.0,70.8,77.8,75.0,85.7
132,雅加达,印度尼西亚,77.4,70.0,70.8,80.6,75.0,89.3
135,胡拜尔,沙特阿拉伯,76.8,85.0,75.0,55.6,66.7,96.4
141,德里,印度,74.5,55.0,70.8,77.8,75.0,96.4
141,孟买,印度,74.5,55.0,70.8,80.6,75.0,89.3
148,德黑兰,伊朗,72.9,60.0,75.0,69.4,75.0,85.7
164,加拉加斯,委内瑞拉,44.5,20.0,41.7,66.7,66.7,57.1
165,基辅,乌克兰,47.0,30.0,66.7,72.2,75.0,46.4
166,莫尔兹比港,巴布亚新几内亚,43.5,40.0,37.5,55.6,50.0,46.4
167,哈拉雷,津巴布韦,42.0,30.0,37.5,61.1,50.0,42.9
168,拉各斯,尼日利亚,48.5,35.0,45.8,63.9,50.0,57.1
169,阿尔及尔,阿尔及利亚,40.8,40.0,50.0,52.8,41.7,35.7
170,卡拉奇,巴基斯坦,37.5,25.0,41.7,55.6,41.7,46.4
171,达卡,孟加拉国,33.5,30.0,37.5,50.0,33.3,28.6
172,的黎波里,利比亚,40.0,20.0,45.8,61.1,41.7,42.9
173,大马士革,叙利亚,30.7,15.0,37.5,52.8,33.3,28.6
